dtstart,uid,description,summary
2025-04-09,event-assignment-1098453,"\n- Lecture 25 - Data Scraping\n \n\nIn this lecture we look at the process of data scrapping and discuss how we find and extract data from specific tags in a website that we are trying to read. Specifically we look at to actions you'll need to complete Project 4, reading data from HTML tables, and downloading images from a web site.\n\nAs part of the tables video, you'll want access to the sample web page. You can find the HTML file here: [Lecture25.html] (https://byu.instructure.com/courses/27227/files/9734403?wrap=1) \n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nFinding Specific Tags\n \n\n Transcript Forthcoming\n\nTables\n \n\n Transcript Forthcoming\n\nImages\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 25 - Data Scraping [C S 111 - Winter25]
2025-04-10,event-assignment-1049357,"\n- Lab 22\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab22), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 22 [C S 111 - Winter25]
2025-04-10,event-assignment-1073980,Do WA 38 - 5.4 Indefinite Integrals on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #38: Section 5.4 [MATH 112 001-007]
2025-04-11,event-assignment-1073940,"Section 5.4: 13, 22, 42, 53, 61, 62, 71, 74",Paper HW #38 (Sect 5.4) [MATH 112 001-007]
2025-04-12,event-assignment-1073982,Do WA 39 - 5.5 Substitution on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #39: Section 5.5 [MATH 112 001-007]
2025-04-14,event-assignment-1073942,"Section 5.5: 15, 19, 25, 28, 53, 65, 76, 85, 87",Paper HW #39(Sect 5.5) [MATH 112 001-007]
2025-04-14,event-assignment-1098454,"\n- Lecture 26 - Data Visualization\n \n\nIn this lecture we look at some simple ways of visualizing or plotting data from within our Python programs. We introduce the matplotlib library, talk about how to make simple line plots and histograms, and finally look at how to save plots we've created so that we can share them with others.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nData Visualization\n \n\n Transcript Forthcoming\n\nSimple Line Plots\n \n\n Transcript Forthcoming\n\nHistograms\n \n\n Transcript Forthcoming\n\nSaving and Clearing Plots\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 26 - Data Visualization [C S 111 - Winter25]
2025-04-15,event-assignment-1065716,"\nLab 23\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab23/), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 23 [C S 111 - Winter25]
2025-04-16,event-assignment-1049324,Please fill out the survey at this link:\n\n[Course Completion Survey] (https://byu.az1.qualtrics.com/jfe/form/SV_cBbYijDuC5FaQui?course=cs111&term=20245)\n\nThis is a short survey about the class and will help us improve it for next semester. Thanks.,Course Completion Survey [C S 111 - Winter25]
2025-04-16,event-assignment-1049363,"\n- Project 4\n\n \n\n Instructions\n \n\n[Instructions for this project] (https://cs111.byu.edu/Projects/project04/), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Project 4 [C S 111 - Winter25]
2025-04-16,event-assignment-1073705,"\n- Free Coding Project Extra Credit\n \n\n Instructions\n \n\nOften these projects take on a life of their own and you want to spend even more time on it. Great! You should do so (but don’t let it get in the way of your course work). And if you do spend more time on your project, you can earn up to 50 points of extra credit. This is half of a full project which translates to 2% on your final grade in the class.\n\nTo receive the extra credit, you meet with a TA and, just like passing off the initial work, go over the new work you did. You will also need to submit your updated work log showing the extra hours spent on the project. This needs to be done by the last day of classes. The TA will give you 5 extra credit points per hour spent (up to 10 additional hours) working on the project. You can also pass off the required 10 hours at this point as well if you hadn’t gotten them completed at the initial check.\n\nNote that this extra credit will only be applied to your grade if you submit all the required projects. You need to do all the required work before you can get extra credit.\n\n \n\n \n\n",Free Coding Project Extra Credit [C S 111 - Winter25]
2025-04-16,event-assignment-1073943,Solve the problems on the attached pdf file from a previous final exam.\n\n[M112FinalExamWinter2022FinalVersion.pdf] (https://byu.instructure.com/courses/29215/files/9876462?verifier=Azljo1sUvOPhTcURt0m9rB894y8vkZt7fXSZKW7I&wrap=1),Paper HW #40 (Review for Final Exam) [MATH 112 001-007]
2025-04-18,event-assignment-1073902,,Final Exam [MATH 112 001-007]
2025-04-23,event-assignment-1049326,"Instructions\n \n\nREAD ALL OF THESE INSTRUCTIONS\n\nPlease visit the [Testing Center website] (https://testing.byu.edu/my-exams) for hours, availability, and late fee information.\n\nYou may use both sides of one 8.5 x 11 sheet of paper filled with notes you made yourself. You may use a computer to make the sheet of notes if you so choose (in this case, print out the page of notes onto physical paper). That page of notes will be your only resource (besides blank scratch paper).\n\nThere is no time limit for the exam; however, in prior semesters the average time was about 70-90 minutes. Please budget your time accordingly.",Final Exam [C S 111 - Winter25]
2025-04-23,event-assignment-1049317,,Final Exam - Online Students [C S 111 - Winter25]
